Timestamp,Soil Moisture (%),Light Intensity (%),Humidity (%),Temperature (C)
2024-12-13 20:40,65%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,65%,26%,25%,24C
2024-12-13 20:40,65%,26%,24%,24C
2024-12-13 20:40,65%,26%,24%,24C
2024-12-13 20:40,65%,26%,24%,24C
2024-12-13 20:40,65%,26%,24%,24C
2024-12-13 20:40,65%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,64%,26%,24%,24C
2024-12-13 20:40,63%,26%,24%,24C
2024-12-13 20:40,63%,26%,24%,24C
2024-12-13 20:40,63%,25%,24%,24C
2024-12-13 20:41,63%,26%,25%,24C
2024-12-13 20:41,65%,26%,25%,24C
2024-12-13 20:41,64%,26%,25%,24C
2024-12-13 20:41,64%,26%,25%,24C
2024-12-13 20:41,63%,26%,25%,24C
2024-12-13 20:41,63%,26%,25%,24C
2024-12-13 20:41,63%,26%,25%,24C
2024-12-13 20:41,64%,26%,25%,24C
2024-12-13 20:41,64%,26%,25%,24C
2024-12-13 20:41,64%,26%,25%,24C
2024-12-13 20:41,64%,26%,25%,24C
2024-12-13 20:41,64%,26%,25%,24C
2024-12-13 20:41,64%,26%,25%,24C
2024-12-13 20:41,64%,26%,25%,24C
2024-12-13 20:41,64%,26%,24%,24C
2024-12-13 20:41,63%,26%,24%,24C
2024-12-13 20:41,65%,26%,24%,24C
2024-12-13 20:41,64%,26%,24%,24C
2024-12-13 20:41,63%,26%,24%,24C
2024-12-13 20:41,64%,26%,24%,24C
2024-12-13 20:41,64%,26%,25%,24C
2024-12-13 20:41,66%,25%,24%,24C
2024-12-13 20:41,66%,26%,24%,24C
2024-12-13 20:41,65%,26%,24%,24C
2024-12-13 20:41,65%,26%,24%,24C
2024-12-13 20:41,65%,26%,24%,24C
2024-12-13 20:41,65%,26%,24%,24C
2024-12-13 20:42,65%,26%,24%,24C
2024-12-13 20:42,64%,26%,24%,24C
2024-12-13 20:42,64%,26%,24%,24C
2024-12-13 20:42,65%,26%,24%,24C
2024-12-13 20:42,65%,26%,24%,24C
2024-12-13 20:42,65%,26%,24%,24C
2024-12-13 20:42,64%,26%,24%,24C
2024-12-13 20:42,65%,26%,25%,24C
2024-12-13 20:42,65%,26%,25%,24C
2024-12-13 20:42,65%,26%,25%,24C
2024-12-13 20:42,65%,26%,25%,24C
2024-12-13 20:42,65%,26%,25%,24C
2024-12-13 20:42,65%,26%,25%,24C
2024-12-13 20:42,65%,26%,25%,24C
2024-12-13 20:42,65%,26%,25%,24C
2024-12-13 20:42,65%,26%,24%,24C
2024-12-13 20:42,65%,26%,24%,24C
2024-12-13 20:42,65%,26%,24%,24C
2024-12-13 20:42,65%,26%,25%,24C
2024-12-13 20:42,65%,26%,25%,24C
2024-12-13 20:42,64%,26%,25%,24C
2024-12-13 20:42,64%,26%,25%,24C
2024-12-13 20:42,64%,26%,25%,24C
2024-12-13 20:42,64%,26%,25%,24C
2024-12-13 20:42,64%,26%,25%,24C
2024-12-13 20:42,64%,26%,25%,24C
2024-12-13 20:42,64%,26%,25%,24C
2024-12-13 20:43,64%,26%,25%,24C
2024-12-13 20:43,64%,26%,25%,24C
2024-12-13 20:43,63%,26%,25%,24C
2024-12-13 20:43,64%,26%,25%,24C
2024-12-13 20:43,64%,26%,25%,24C
2024-12-13 20:43,65%,26%,25%,24C
2024-12-13 20:43,64%,26%,25%,24C
2024-12-13 20:43,65%,26%,25%,24C
2024-12-13 20:43,65%,26%,26%,24C
2024-12-13 20:43,63%,26%,27%,24C
2024-12-13 20:43,63%,26%,27%,24C
2024-12-13 20:43,63%,26%,26%,24C
2024-12-13 20:43,63%,26%,26%,24C
2024-12-13 20:43,63%,26%,26%,24C
2024-12-13 20:43,63%,26%,26%,24C
2024-12-13 20:43,63%,26%,25%,24C
2024-12-13 20:43,63%,26%,25%,24C
2024-12-13 20:43,63%,26%,25%,24C
2024-12-13 20:43,63%,26%,25%,24C
2024-12-13 20:43,63%,26%,25%,24C
2024-12-13 20:43,64%,26%,25%,24C
2024-12-13 20:43,65%,26%,24%,24C
